;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
300;4,767525908;5,737955248;6,868003277;8,508026558;16,09571795;613,5679854;613,6626014;613,7570855;613,8514381;613,9456598;614,039751;614,1337122;614,227544
301;4,733776069;5,684495828;6,764878819;8,195795248;11,73610152;612,0701511;612,16601;612,2617329;612,3573204;612,4527729;612,548091;612,6432752;612,7383259
302;4,701492736;5,635171292;6,676831047;7,9739213;10,34541827;610,5649019;610,6620324;610,7590227;610,8558733;610,9525848;611,0491578;611,1455927;611,2418901
303;4,670470893;5,589182776;6,59971186;7,80487712;9,653682626;19,82574644;609,1505123;609,2487994;609,3469426;609,4449422;609,542799;609,6405135;609,7380862
304;4,640544572;5,545931792;6,530779993;7,669320844;9,233087493;13,39432561;607,631288;607,7309025;607,8303685;607,9296866;608,0288572;608,1278811;608,2267588
305;4,611577049;5,504962479;6,468153869;7,556303322;8,945038587;11,59118458;606,1041917;606,2051654;606,3059858;606,4066535;606,5071692;606,6075335;606,707747
306;4,58345118;5,465919412;6,410500126;7,45917926;8,731357822;10,73388881;21,06686162;604,6714158;604,7736232;604,8756731;604,9775661;605,0793028;605,1808839
307;4,556073442;5,428521349;6,356847577;7,37369141;8,563455899;10,22525465;14,5480263;603,1294749;603,2331033;603,3365691;603,4398729;603,5430154;603,6459972
308;4,529362553;5,392542293;6,306471983;7,29699205;8,425690697;9,882456355;12,62785001;178,0099661;601,6842423;601,789159;601,8939083;601,998491;602,1029079
309;4,503246706;5,357798238;6,258820815;7,227106694;8,308807461;9,631102559;11,6997154;20,18435402;600,1268497;600,2332535;600,3394844;600,4455433;600,5514309
310;4,477699924;5,324137483;6,213465894;7,162624201;8,206994281;9,435364435;11,14442231;15,18528536;598,5607277;598,6686564;598,7764066;598,8839788;598,9913741
311;4,452715796;5,291433301;6,170068518;7,102509597;8,116424876;9,275913155;10,76834175;13,43785054;37,12171209;597,0951644;597,2044726;597,313597;597,4225384
312;4,427857327;5,259578351;6,128357049;7,045985694;8,03448184;9,141430292;10,49175234;12,53798932;18,91195724;595,5125663;595,6234732;595,7341899;595,8447174
