;6 bar;7 bar ;8 bar;9 bar;10 bar;11 bar;12 bar;13 bar;14 bar;15 bar;16 bar;17 bar;18 bar
300;1536300,503;1507887,163;1464720,725;1374573,228;984218,3124;435060,4529;435104,4199;435148,4962;435192,6814;435236,9751;435281,3769;435325,8864;435370,5032
301;1542562,632;1516396,644;1478978,978;1409525,102;1193607,627;439856,4117;439899,2075;439942,1163;439985,1376;440028,271;440071,5161;440114,8726;440158,3398
302;1548573,32;1524250,248;1491208,274;1435429,377;1296201,992;444660,5267;444702,1219;444743,8339;444785,6622;444827,6064;444869,6661;444911,8408;444954,1301
303;1554375,145;1531579,855;1501944,885;1455667,22;1357232,779;931158,8004;449513,3373;449553,8221;449594,4273;449635,1522;449675,9966;449716,9599;449758,0417
304;1560003,041;1538485,912;1511554,537;1472140,514;1398016,3;1170315,962;454333,0343;454372,2605;454411,6112;454451,0859;454490,684;454530,4051;454570,2487
305;1565486,224;1545046,001;1520294,828;1485996,81;1427520,146;1283629,545;459161,4007;459199,3358;459237,3996;459275,5916;459313,9114;459352,3584;459390,9322
306;1570850,251;1551321,492;1528352,318;1497967,222;1450143,705;1349821,033;951509,4426;464035,2416;464071,9848;464108,8608;464145,8689;464183,0087;464220,2797
307;1576115,712;1557361,611;1535865,465;1508538,339;1468285,845;1393524,84;1177951,47;468880,1792;468915,5669;468951,092;468986,754;469022,5523;469058,4863
308;1581300,899;1563206,461;1542939,238;1518045,809;1483360,418;1424864,203;1287893,808;519079,6787;473768,3536;473802,4918;473836,7717;473871,1927;473905,7543
309;1586422,667;1568889,161;1549654,982;1526728,346;1496251,939;1448730,797;1352963,075;1023800,472;478630,5606;478663,2744;478696,1349;478729,1417;478762,294
310;1591485,489;1574437,424;1556076,603;1534760,268;1507540,479;1467763,175;1396281,101;1209503,79;483502,4121;483533,6624;483565,0649;483596,6188;483628,3236
311;1596491,179;1579874,785;1562255,381;1542271,83;1517621,384;1483503,911;1427518,723;1305777,105;796405,3975;488413,8872;488443,7913;488473,8524;488504,0699
312;1601550,866;1585221,548;1568233,023;1549362,495;1526772,863;1496912,12;1451403,603;1364880,176;1113288,75;493304,189;493332,5529;493361,0796;493389,7683
313;1606578,123;1590495,451;1574043,955;1556109,51;1535196,161;1508613,804;1470506,979;1405177,171;1253079,797;498204,8177;498231,5977;498258,5466;498285,6637
314;1611558,208;1595712,748;1579716,974;1562574,189;1543040,446;1519033,91;1486341,487;1434733,243;1331820,513;1001297,003;503141,1837;503166,5097;503192,0102
315;1616493,797;1600886,506;1585276,479;1568805,667;1550418,66;1528470,543;1499852,331;1457620,884;1382609,638;1197666,623;508061,5788;508085,235;508109,0723
316;1679772,76;1606029,631;1590743,393;1574844,163;1557418,004;1537138,691;1511658,99;1476107,311;1418417,708;1299007,689;881729,0471;513014,9994;513037,1249
317;1685534,883;1611153,067;1596135,891;1580722,968;1564107,019;1545197,219;1522183,483;1491550,184;1445330,467;1361059,605;1144213,695;517956,0908;517976,4537
